cash,KO,date
0.7006526,0.29934737,2023-08-16
0.6788486,0.3211514,2023-08-17
0.58703905,0.41296095,2023-08-18
0.74268025,0.25731975,2023-08-21
0.71740335,0.28259665,2023-08-22
0.6481924,0.35180762,2023-08-23
0.79688627,0.20311373,2023-08-24
0.6348268,0.36517322,2023-08-25
0.8028614,0.19713862,2023-08-28
0.90876734,0.09123265,2023-08-29
0.8883445,0.11165547,2023-08-30
0.8211539,0.17884614,2023-08-31
0.4632088,0.5367912,2023-09-01
0.24358407,0.7564159,2023-09-05
0.22200225,0.77799773,2023-09-06
0.30930015,0.6906998,2023-09-07
0.24299857,0.75700146,2023-09-08
0.37858468,0.6214153,2023-09-11
0.34326312,0.65673685,2023-09-12
0.36724687,0.63275313,2023-09-13
0.57136846,0.42863157,2023-09-14
0.62919796,0.37080204,2023-09-15
0.33316052,0.6668395,2023-09-18
0.43952504,0.560475,2023-09-19
0.5691292,0.43087077,2023-09-20
0.636222,0.363778,2023-09-21
0.29061145,0.70938855,2023-09-22
0.26810855,0.73189145,2023-09-25
0.27371043,0.7262896,2023-09-26
0.35536233,0.64463764,2023-09-27
0.22026663,0.77973336,2023-09-28
0.23768345,0.7623165,2023-09-29
0.2798539,0.7201461,2023-10-02
0.2782043,0.72179574,2023-10-03
0.2896605,0.7103395,2023-10-04
0.32793015,0.67206985,2023-10-05
0.05434621,0.9456538,2023-10-06
0.06384485,0.93615514,2023-10-09
0.04579582,0.9542042,2023-10-10
0.18791045,0.81208956,2023-10-11
0.09375603,0.906244,2023-10-12
0.054059226,0.9459408,2023-10-13
0.053552642,0.9464474,2023-10-16
0.12500355,0.8749964,2023-10-17
0.26517832,0.7348217,2023-10-18
0.3028545,0.69714546,2023-10-19
0.31310484,0.6868952,2023-10-20
0.45681584,0.54318416,2023-10-23
0.20516038,0.7948396,2023-10-24
0.32512966,0.6748704,2023-10-25
0.5936147,0.4063853,2023-10-26
0.61955994,0.3804401,2023-10-27
0.26699904,0.73300093,2023-10-30
0.27125025,0.72874975,2023-10-31
0.45319754,0.54680246,2023-11-01
0.61831874,0.38168123,2023-11-02
0.6414965,0.35850352,2023-11-03
0.3895379,0.6104621,2023-11-06
0.6052928,0.39470723,2023-11-07
0.8160403,0.18395971,2023-11-08
0.8321347,0.1678653,2023-11-09
0.67859274,0.32140723,2023-11-10
0.51445955,0.48554048,2023-11-13
0.7693585,0.23064145,2023-11-14
0.8552017,0.14479828,2023-11-15
0.9104263,0.08957368,2023-11-16
0.8193697,0.18063031,2023-11-17
0.856857,0.14314297,2023-11-20
0.88400394,0.11599606,2023-11-21
0.8624921,0.13750795,2023-11-22
0.9521733,0.0478267,2023-11-24
0.95610905,0.043890942,2023-11-27
0.91732085,0.08267916,2023-11-28
0.9118527,0.088147275,2023-11-29
0.80532503,0.19467497,2023-11-30
0.6056754,0.3943246,2023-12-01
0.82611257,0.17388743,2023-12-04
0.8597397,0.14026031,2023-12-05
0.851675,0.14832501,2023-12-06
0.8568581,0.14314196,2023-12-07
0.92282575,0.07717427,2023-12-08
0.8483976,0.15160239,2023-12-11
0.86864936,0.13135065,2023-12-12
0.9186516,0.08134842,2023-12-13
0.89291465,0.107085325,2023-12-14
