cash,KO,date
0.080117665,0.91988236,2023-03-06
0.3261704,0.67382956,2023-03-07
0.14942156,0.8505784,2023-03-08
0.38913554,0.61086446,2023-03-09
0.16150762,0.8384924,2023-03-10
0.1369693,0.8630307,2023-03-13
0.2197501,0.7802499,2023-03-14
0.1363324,0.8636676,2023-03-15
0.19412175,0.8058783,2023-03-16
0.14980248,0.8501975,2023-03-17
0.094365224,0.90563476,2023-03-20
0.20975064,0.79024935,2023-03-21
0.10728954,0.89271045,2023-03-22
0.103799306,0.8962007,2023-03-23
0.075899,0.924101,2023-03-24
0.19706923,0.8029308,2023-03-27
0.13035707,0.8696429,2023-03-28
0.12050955,0.87949044,2023-03-29
0.15593995,0.84406006,2023-03-30
0.15818195,0.84181803,2023-03-31
0.124509506,0.8754905,2023-04-03
0.15401243,0.84598756,2023-04-04
0.12035681,0.8796432,2023-04-05
0.14714782,0.85285217,2023-04-06
0.1402478,0.8597522,2023-04-10
0.13853231,0.86146766,2023-04-11
0.07583585,0.9241642,2023-04-12
0.1255109,0.87448907,2023-04-13
0.13091227,0.8690877,2023-04-14
0.093383394,0.9066166,2023-04-17
0.14027134,0.8597287,2023-04-18
0.1511093,0.8488907,2023-04-19
0.13801052,0.8619895,2023-04-20
0.15109448,0.8489055,2023-04-21
0.12341603,0.876584,2023-04-24
0.08940405,0.91059595,2023-04-25
0.08648778,0.91351223,2023-04-26
0.073720224,0.9262798,2023-04-27
0.09875151,0.9012485,2023-04-28
0.15427002,0.84573,2023-05-01
0.16818556,0.83181447,2023-05-02
0.10140909,0.8985909,2023-05-03
0.07999713,0.9200029,2023-05-04
0.08999997,0.91,2023-05-05
0.11363403,0.88636595,2023-05-08
0.10264076,0.89735925,2023-05-09
0.062593885,0.9374061,2023-05-10
0.10262286,0.89737713,2023-05-11
0.13751192,0.8624881,2023-05-12
0.1105813,0.8894187,2023-05-15
0.08735587,0.91264415,2023-05-16
0.06052247,0.9394775,2023-05-17
0.069257036,0.930743,2023-05-18
0.061857045,0.93814296,2023-05-19
0.04695049,0.95304954,2023-05-22
0.050169423,0.9498306,2023-05-23
0.0557079,0.9442921,2023-05-24
0.051227674,0.9487723,2023-05-25
0.045451093,0.9545489,2023-05-26
0.046302028,0.953698,2023-05-30
0.04173109,0.95826894,2023-05-31
0.06878689,0.9312131,2023-06-01
0.071140245,0.9288598,2023-06-02
0.22025622,0.7797438,2023-06-05
0.05880548,0.94119453,2023-06-06
0.069309324,0.9306907,2023-06-07
0.106007,0.893993,2023-06-08
0.11650397,0.88349605,2023-06-09
0.0898164,0.9101836,2023-06-12
0.060104202,0.9398958,2023-06-13
0.13575463,0.86424536,2023-06-14
0.1812651,0.8187349,2023-06-15
0.20893669,0.7910633,2023-06-16
0.13719745,0.86280257,2023-06-20
0.09918159,0.9008184,2023-06-21
0.15144232,0.8485577,2023-06-22
0.15151176,0.8484883,2023-06-23
0.051403344,0.94859666,2023-06-26
0.11280016,0.8871998,2023-06-27
0.12283596,0.87716407,2023-06-28
0.07869007,0.92130995,2023-06-29
0.06669892,0.9333011,2023-06-30
0.08128366,0.9187164,2023-07-03
0.20656677,0.79343325,2023-07-05
0.22985956,0.77014047,2023-07-06
0.08587543,0.91412455,2023-07-07
0.06829478,0.93170524,2023-07-10
0.06794464,0.93205535,2023-07-11
0.08524242,0.91475755,2023-07-12
0.0786043,0.9213957,2023-07-13
0.12325269,0.8767473,2023-07-14
