cash,WMT,date
0.6061855,0.3938145,2023-11-21
0.1210716,0.8789284,2023-11-22
0.20209658,0.7979034,2023-11-24
0.10874644,0.89125353,2023-11-27
0.08054155,0.91945845,2023-11-28
0.05111177,0.94888824,2023-11-29
0.07192271,0.9280773,2023-11-30
0.078298405,0.9217016,2023-12-01
0.57125705,0.42874292,2023-12-04
0.58691174,0.4130883,2023-12-05
0.4965376,0.5034624,2023-12-06
0.47265205,0.527348,2023-12-07
0.55311024,0.44688976,2023-12-08
0.66184914,0.33815086,2023-12-11
0.51459426,0.48540577,2023-12-12
0.4436421,0.55635786,2023-12-13
0.092127435,0.90787256,2023-12-14
