cash,KO,date
0.3480914,0.6519086,2023-07-26
0.45569757,0.5443024,2023-07-27
0.19246382,0.8075362,2023-07-28
0.24488465,0.75511533,2023-07-31
0.097600386,0.9023996,2023-08-01
0.08599539,0.9140046,2023-08-02
0.081450075,0.9185499,2023-08-03
0.08849388,0.9115061,2023-08-04
0.08637807,0.91362196,2023-08-07
0.12576263,0.87423736,2023-08-08
0.066398114,0.9336019,2023-08-09
0.10829031,0.8917097,2023-08-10
0.084330626,0.9156694,2023-08-11
0.1306331,0.8693669,2023-08-14
0.08450097,0.91549903,2023-08-15
0.062677294,0.93732274,2023-08-16
0.0624267,0.9375733,2023-08-17
0.121341094,0.8786589,2023-08-18
0.14174978,0.8582502,2023-08-21
0.07333796,0.926662,2023-08-22
0.06181424,0.93818575,2023-08-23
0.06917469,0.9308253,2023-08-24
0.07712129,0.92287874,2023-08-25
0.11214911,0.8878509,2023-08-28
0.19991045,0.80008954,2023-08-29
0.12200546,0.87799454,2023-08-30
0.117164694,0.8828353,2023-08-31
0.14710076,0.85289925,2023-09-01
0.12184213,0.87815785,2023-09-05
0.11001226,0.88998777,2023-09-06
0.1230974,0.8769026,2023-09-07
0.135026,0.864974,2023-09-08
0.12254544,0.8774546,2023-09-11
0.18612494,0.8138751,2023-09-12
0.13354069,0.8664593,2023-09-13
0.12945718,0.8705428,2023-09-14
0.10297621,0.8970238,2023-09-15
0.18300548,0.8169945,2023-09-18
0.12846321,0.8715368,2023-09-19
0.07439645,0.92560357,2023-09-20
0.13456,0.86544,2023-09-21
0.097429395,0.9025706,2023-09-22
0.06964765,0.93035233,2023-09-25
0.06635455,0.9336454,2023-09-26
0.056071043,0.94392896,2023-09-27
0.096019775,0.9039802,2023-09-28
0.08421615,0.9157838,2023-09-29
0.08749757,0.9125024,2023-10-02
0.10073637,0.8992636,2023-10-03
0.09159403,0.90840596,2023-10-04
0.080171496,0.91982853,2023-10-05
0.19840786,0.8015921,2023-10-06
0.24590375,0.75409627,2023-10-09
0.191854,0.808146,2023-10-10
0.4932015,0.5067985,2023-10-11
0.41233087,0.58766913,2023-10-12
0.27474037,0.7252596,2023-10-13
0.18884838,0.8111516,2023-10-16
0.33709487,0.6629051,2023-10-17
0.5680031,0.43199688,2023-10-18
0.58396095,0.41603902,2023-10-19
0.58190185,0.41809812,2023-10-20
0.5415161,0.45848387,2023-10-23
0.20831947,0.7916805,2023-10-24
0.6827938,0.31720617,2023-10-25
0.794903,0.20509702,2023-10-26
0.70726085,0.29273912,2023-10-27
0.32733336,0.67266667,2023-10-30
0.5471709,0.45282915,2023-10-31
0.62288713,0.37711287,2023-11-01
0.6258192,0.3741808,2023-11-02
0.7504938,0.24950618,2023-11-03
0.5364044,0.46359563,2023-11-06
0.573305,0.42669502,2023-11-07
0.5703377,0.42966232,2023-11-08
0.37938717,0.6206128,2023-11-09
0.12351645,0.87648356,2023-11-10
0.10010112,0.8998989,2023-11-13
0.11120539,0.8887946,2023-11-14
0.14165653,0.8583435,2023-11-15
0.21525894,0.78474104,2023-11-16
0.14519024,0.85480976,2023-11-17
0.123356275,0.8766437,2023-11-20
0.13746147,0.8625385,2023-11-21
0.31179044,0.6882096,2023-11-22
0.53379613,0.4662039,2023-11-24
0.6115515,0.38844845,2023-11-27
0.3517068,0.6482932,2023-11-28
0.2535116,0.7464884,2023-11-29
0.10322365,0.8967764,2023-11-30
0.22748461,0.7725154,2023-12-01
0.15908532,0.84091467,2023-12-04
0.12219966,0.87780035,2023-12-05
0.11460279,0.8853972,2023-12-06
0.09997615,0.9000238,2023-12-07
0.114347614,0.88565236,2023-12-08
0.089502126,0.9104979,2023-12-11
0.16357712,0.83642286,2023-12-12
0.24179968,0.75820035,2023-12-13
0.38929462,0.6107054,2023-12-14
