cash,TSM,date
0.11936806,0.8806319,2023-03-13
0.86260164,0.13739835,2023-03-14
0.8264821,0.17351787,2023-03-15
0.05270089,0.9472991,2023-03-16
0.9057737,0.09422627,2023-03-17
0.20456676,0.7954332,2023-03-20
0.2375938,0.7624062,2023-03-21
0.5058157,0.4941843,2023-03-22
0.59924954,0.4007505,2023-03-23
0.6493404,0.35065964,2023-03-24
0.4982304,0.5017696,2023-03-27
0.08037276,0.91962725,2023-03-28
0.10531677,0.89468324,2023-03-29
0.6010911,0.39890894,2023-03-30
0.053930677,0.9460693,2023-03-31
0.5295137,0.47048628,2023-04-03
0.51986414,0.48013586,2023-04-04
0.28648233,0.71351767,2023-04-05
0.32720536,0.67279464,2023-04-06
0.31541952,0.68458045,2023-04-10
0.24941228,0.7505877,2023-04-11
0.13683854,0.86316144,2023-04-12
0.110907786,0.8890922,2023-04-13
0.21842732,0.7815727,2023-04-14
0.21268463,0.78731537,2023-04-17
0.06971009,0.9302899,2023-04-18
0.049027145,0.95097286,2023-04-19
0.20838858,0.79161143,2023-04-20
0.9011996,0.09880041,2023-04-21
0.15395458,0.84604543,2023-04-24
0.050778486,0.9492215,2023-04-25
0.038355723,0.9616443,2023-04-26
0.021152105,0.9788479,2023-04-27
0.042006474,0.9579935,2023-04-28
0.013714711,0.98628527,2023-05-01
0.02480309,0.9751969,2023-05-02
0.057622474,0.9423775,2023-05-03
0.07358784,0.92641217,2023-05-04
0.08204471,0.9179553,2023-05-05
0.62822735,0.37177265,2023-05-08
0.4546372,0.5453628,2023-05-09
0.5696673,0.43033272,2023-05-10
0.74779105,0.25220895,2023-05-11
0.42116827,0.57883173,2023-05-12
0.335933,0.664067,2023-05-15
0.9251275,0.074872516,2023-05-16
0.36692995,0.63307005,2023-05-17
0.58207655,0.41792348,2023-05-18
0.6010558,0.3989442,2023-05-19
0.5263685,0.4736315,2023-05-22
0.56043494,0.43956506,2023-05-23
0.35337788,0.6466221,2023-05-24
0.16514695,0.83485305,2023-05-25
0.47277185,0.5272281,2023-05-26
0.4579501,0.54204994,2023-05-30
0.3144472,0.68555284,2023-05-31
0.16167264,0.83832735,2023-06-01
0.5027654,0.4972346,2023-06-02
