cash,TSM,date
0.16163222,0.83836776,2023-11-17
0.14379884,0.8562012,2023-11-20
0.1564665,0.8435335,2023-11-21
0.059179995,0.94082,2023-11-22
0.08561896,0.914381,2023-11-24
0.09082411,0.9091759,2023-11-27
0.06745013,0.9325499,2023-11-28
0.19102114,0.80897886,2023-11-29
0.35913432,0.6408657,2023-11-30
0.16250023,0.8374998,2023-12-01
0.4622908,0.53770924,2023-12-04
0.29849246,0.70150757,2023-12-05
0.28172004,0.71827996,2023-12-06
0.2189575,0.7810425,2023-12-07
0.31080297,0.68919706,2023-12-08
0.33694032,0.6630597,2023-12-11
0.3500123,0.6499877,2023-12-12
0.42986026,0.57013977,2023-12-13
0.3806242,0.61937577,2023-12-14
