cash,TSM,date
0.45038354,0.54961646,2023-05-10
0.4524934,0.5475066,2023-05-11
0.18977088,0.8102291,2023-05-12
0.2782589,0.72174114,2023-05-15
0.7319908,0.2680092,2023-05-16
0.4011914,0.5988086,2023-05-17
0.8550332,0.14496678,2023-05-18
0.78381926,0.21618076,2023-05-19
0.5638679,0.4361321,2023-05-22
0.51654506,0.48345494,2023-05-23
0.33675355,0.66324645,2023-05-24
0.25985715,0.7401429,2023-05-25
0.8275109,0.1724891,2023-05-26
0.7020175,0.2979825,2023-05-30
0.43278167,0.56721836,2023-05-31
0.2613085,0.7386915,2023-06-01
0.4178277,0.58217233,2023-06-02
0.14726162,0.8527384,2023-06-05
0.21273415,0.78726584,2023-06-06
0.4588838,0.54111624,2023-06-07
0.23915505,0.76084495,2023-06-08
0.17351122,0.8264888,2023-06-09
0.6544007,0.3455993,2023-06-12
0.77434045,0.22565956,2023-06-13
0.6670578,0.33294216,2023-06-14
0.6597969,0.3402031,2023-06-15
0.343535,0.656465,2023-06-16
0.3105114,0.6894886,2023-06-20
0.25424892,0.7457511,2023-06-21
0.084238276,0.9157617,2023-06-22
0.42701554,0.57298446,2023-06-23
0.080910586,0.91908944,2023-06-26
0.13318935,0.8668106,2023-06-27
0.4548073,0.5451927,2023-06-28
0.16488734,0.8351127,2023-06-29
0.2060772,0.7939228,2023-06-30
0.21421726,0.78578275,2023-07-03
0.5078109,0.4921891,2023-07-05
0.11146033,0.8885397,2023-07-06
0.06433418,0.93566585,2023-07-07
0.5869212,0.41307878,2023-07-10
0.10943642,0.8905636,2023-07-11
0.42504147,0.5749585,2023-07-12
0.5491709,0.4508291,2023-07-13
0.69542414,0.30457586,2023-07-14
0.5178011,0.4821989,2023-07-17
0.6428072,0.3571928,2023-07-18
0.1620962,0.8379038,2023-07-19
0.337169,0.662831,2023-07-20
0.12181768,0.87818235,2023-07-21
0.06810822,0.9318918,2023-07-24
0.15792589,0.8420741,2023-07-25
0.21822485,0.7817752,2023-07-26
0.03231717,0.96768284,2023-07-27
0.16494061,0.8350594,2023-07-28
0.30211842,0.6978816,2023-07-31
0.0376932,0.9623068,2023-08-01
0.070483215,0.9295168,2023-08-02
0.040413804,0.9595862,2023-08-03
0.07887695,0.921123,2023-08-04
0.3780052,0.6219948,2023-08-07
0.16197301,0.838027,2023-08-08
0.0934287,0.9065713,2023-08-09
0.19120656,0.8087934,2023-08-10
0.283567,0.716433,2023-08-11
0.051100228,0.94889975,2023-08-14
0.28046864,0.71953136,2023-08-15
0.061040364,0.93895966,2023-08-16
0.13338321,0.8666168,2023-08-17
0.091795236,0.90820473,2023-08-18
0.14071228,0.85928774,2023-08-21
0.6686101,0.33138987,2023-08-22
0.17835045,0.82164955,2023-08-23
0.5901922,0.4098078,2023-08-24
0.31321383,0.6867862,2023-08-25
0.5182427,0.48175728,2023-08-28
0.41618767,0.58381236,2023-08-29
0.8072112,0.19278881,2023-08-30
0.2584972,0.74150276,2023-08-31
0.16604088,0.8339591,2023-09-01
0.289526,0.710474,2023-09-05
0.6494321,0.35056788,2023-09-06
0.08174654,0.9182535,2023-09-07
0.05622698,0.94377303,2023-09-08
0.117583476,0.88241655,2023-09-11
0.063976526,0.9360235,2023-09-12
0.104634434,0.89536554,2023-09-13
0.24407296,0.755927,2023-09-14
0.2951763,0.7048237,2023-09-15
0.13058607,0.8694139,2023-09-18
0.097834826,0.9021652,2023-09-19
0.093230136,0.9067699,2023-09-20
0.13143371,0.8685663,2023-09-21
0.03438277,0.96561724,2023-09-22
0.122574754,0.87742525,2023-09-25
0.16189423,0.8381058,2023-09-26
0.05724993,0.9427501,2023-09-27
0.24422961,0.7557704,2023-09-28
0.43192643,0.5680736,2023-09-29
0.30759692,0.6924031,2023-10-02
0.4247375,0.5752625,2023-10-03
0.1351553,0.8648447,2023-10-04
0.63757914,0.36242086,2023-10-05
0.31430274,0.68569726,2023-10-06
0.8858006,0.114199385,2023-10-09
0.20753339,0.79246664,2023-10-10
0.8738509,0.1261491,2023-10-11
0.75655395,0.24344607,2023-10-12
0.76723623,0.23276377,2023-10-13
0.19413927,0.8058607,2023-10-16
0.58547544,0.41452456,2023-10-17
0.75933856,0.24066144,2023-10-18
0.097433165,0.90256685,2023-10-19
0.64723754,0.3527625,2023-10-20
0.23762614,0.76237386,2023-10-23
0.41053832,0.5894617,2023-10-24
0.304997,0.695003,2023-10-25
0.113163106,0.8868369,2023-10-26
0.077963926,0.92203605,2023-10-27
0.04919085,0.9508091,2023-10-30
0.106342964,0.893657,2023-10-31
0.08862383,0.9113762,2023-11-01
0.31408352,0.6859165,2023-11-02
0.49782562,0.5021744,2023-11-03
0.50121707,0.4987829,2023-11-06
0.5252073,0.47479272,2023-11-07
0.40025717,0.5997428,2023-11-08
0.5172843,0.48271573,2023-11-09
0.4878075,0.5121925,2023-11-10
0.8790816,0.120918415,2023-11-13
0.36013854,0.63986146,2023-11-14
0.6047212,0.39527884,2023-11-15
0.6121036,0.38789642,2023-11-16
0.49619272,0.50380725,2023-11-17
0.57580334,0.42419663,2023-11-20
0.41176465,0.5882354,2023-11-21
0.13902698,0.860973,2023-11-22
0.32736024,0.6726398,2023-11-24
0.14824046,0.85175955,2023-11-27
0.16333635,0.83666366,2023-11-28
0.29199925,0.7080007,2023-11-29
0.40706357,0.59293646,2023-11-30
0.18923952,0.8107605,2023-12-01
0.4928742,0.5071258,2023-12-04
0.2154733,0.7845267,2023-12-05
0.28358954,0.71641046,2023-12-06
0.41712838,0.5828716,2023-12-07
0.5683872,0.43161276,2023-12-08
0.48439476,0.5156052,2023-12-11
0.6192894,0.38071063,2023-12-12
0.64585656,0.35414347,2023-12-13
0.61795604,0.38204396,2023-12-14
